Epoch 1/20:   0%|          | 0/1 [00:00<?, ?it/s]c:\Users\omare\anaconda3\envs\.conda\Lib\site-packages\torch\nn\modules\loss.py:538: UserWarning: Using a target size (torch.Size([1])) that is different to the input size (torch.Size([1, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
                                                              
Epoch [1/20], Final Loss: 4.4168
Epoch [2/20], Final Loss: 4.3314
Epoch [3/20], Final Loss: 4.2432
Epoch [4/20], Final Loss: 4.1539
Epoch [5/20], Final Loss: 4.0616
Epoch [6/20], Final Loss: 3.9671
Epoch [7/20], Final Loss: 3.8669
Epoch [8/20], Final Loss: 3.7597
Epoch [9/20], Final Loss: 3.6359
Epoch [10/20], Final Loss: 3.4917
Epoch [11/20], Final Loss: 3.3301
Epoch [12/20], Final Loss: 3.1430
Epoch [13/20], Final Loss: 2.9245
Epoch [14/20], Final Loss: 2.6740
Epoch [15/20], Final Loss: 2.3839
Epoch [16/20], Final Loss: 2.0508
Epoch [17/20], Final Loss: 1.6833
Epoch [18/20], Final Loss: 1.2914
Epoch [19/20], Final Loss: 0.8880
Epoch [20/20], Final Loss: 0.5032
