                                                            
Epoch [1/20], Final Loss: 796.2860
Epoch [2/20], Final Loss: 796.0062
Epoch [3/20], Final Loss: 795.7188
Epoch [4/20], Final Loss: 795.4147
Epoch [5/20], Final Loss: 795.0793
Epoch [6/20], Final Loss: 794.7177
Epoch [7/20], Final Loss: 794.3245
Epoch [8/20], Final Loss: 793.8700
Epoch [9/20], Final Loss: 793.3409
Epoch [10/20], Final Loss: 792.7474
Epoch [11/20], Final Loss: 792.0609
Epoch [12/20], Final Loss: 791.2699
Epoch [13/20], Final Loss: 790.2985
Epoch [14/20], Final Loss: 789.1326
Epoch [15/20], Final Loss: 787.7343
Epoch [16/20], Final Loss: 786.0594
Epoch [17/20], Final Loss: 784.0671
Epoch [18/20], Final Loss: 781.7092
Epoch [19/20], Final Loss: 778.9277
Epoch [20/20], Final Loss: 775.6792
