                                                            
Epoch [1/50], Final Loss: 771.9150
Epoch [2/50], Final Loss: 767.5950
Epoch [3/50], Final Loss: 762.6934
Epoch [4/50], Final Loss: 757.2123
Epoch [5/50], Final Loss: 751.1931
Epoch [6/50], Final Loss: 744.7431
Epoch [7/50], Final Loss: 738.0654
Epoch [8/50], Final Loss: 731.4990
Epoch [9/50], Final Loss: 725.5706
Epoch [10/50], Final Loss: 721.0410
Epoch [11/50], Final Loss: 718.8749
Epoch [12/50], Final Loss: 719.9058
Epoch [13/50], Final Loss: 723.7651
Epoch [14/50], Final Loss: 727.9199
Epoch [15/50], Final Loss: 729.7095
Epoch [16/50], Final Loss: 728.7138
Epoch [17/50], Final Loss: 726.0488
Epoch [18/50], Final Loss: 723.0488
Epoch [19/50], Final Loss: 720.6450
Epoch [20/50], Final Loss: 719.2395
Epoch [21/50], Final Loss: 718.8102
Epoch [22/50], Final Loss: 719.0983
Epoch [23/50], Final Loss: 719.7755
Epoch [24/50], Final Loss: 720.5513
Epoch [25/50], Final Loss: 721.2181
Epoch [26/50], Final Loss: 721.6549
Epoch [27/50], Final Loss: 721.8126
Epoch [28/50], Final Loss: 721.6950
Epoch [29/50], Final Loss: 721.3451
Epoch [30/50], Final Loss: 720.8325
Epoch [31/50], Final Loss: 720.2433
Epoch [32/50], Final Loss: 719.6707
Epoch [33/50], Final Loss: 719.2020
Epoch [34/50], Final Loss: 718.9046
Epoch [35/50], Final Loss: 718.8101
Epoch [36/50], Final Loss: 718.9034
Epoch [37/50], Final Loss: 719.1228
Epoch [38/50], Final Loss: 719.3758
Epoch [39/50], Final Loss: 719.5685
Epoch [40/50], Final Loss: 719.6383
Epoch [41/50], Final Loss: 719.5719
Epoch [42/50], Final Loss: 719.4029
Epoch [43/50], Final Loss: 719.1915
Epoch [44/50], Final Loss: 718.9987
Epoch [45/50], Final Loss: 718.8671
Epoch [46/50], Final Loss: 718.8123
Epoch [47/50], Final Loss: 718.8260
Epoch [48/50], Final Loss: 718.8846
Epoch [49/50], Final Loss: 718.9588
Epoch [50/50], Final Loss: 719.0229
