                                                                        
Epoch [1/50], Final Loss: 4940.3115
Epoch [2/50], Final Loss: 4869.9084
Epoch [3/50], Final Loss: 4861.7180
Epoch [4/50], Final Loss: 4785.5718
Epoch [5/50], Final Loss: 4801.2478
Epoch [6/50], Final Loss: 4819.4402
Epoch [7/50], Final Loss: 4792.0022
Epoch [8/50], Final Loss: 4756.5366
Epoch [9/50], Final Loss: 4791.8646
Epoch [10/50], Final Loss: 4798.0310
Epoch [11/50], Final Loss: 4787.7312
Epoch [12/50], Final Loss: 4788.4104
Epoch [13/50], Final Loss: 4761.7336
Epoch [14/50], Final Loss: 4733.8000
Epoch [15/50], Final Loss: 4754.6178
Epoch [16/50], Final Loss: 4752.9832
Epoch [17/50], Final Loss: 4740.0500
Epoch [18/50], Final Loss: 4760.7378
Epoch [19/50], Final Loss: 4806.0461
Epoch [20/50], Final Loss: 4760.0742
Epoch [21/50], Final Loss: 4705.0838
Epoch [22/50], Final Loss: 4774.5356
Epoch [23/50], Final Loss: 4787.5381
Epoch [24/50], Final Loss: 4784.9893
Epoch [25/50], Final Loss: 4770.6882
Epoch [26/50], Final Loss: 4761.1824
Epoch [27/50], Final Loss: 4778.3499
Epoch [28/50], Final Loss: 4783.4543
Epoch [29/50], Final Loss: 4782.4983
Epoch [30/50], Final Loss: 4727.2518
Epoch [31/50], Final Loss: 4757.4507
Epoch [32/50], Final Loss: 4732.5317
Epoch [33/50], Final Loss: 4754.5237
Epoch [34/50], Final Loss: 4775.9937
Epoch [35/50], Final Loss: 4775.1655
Epoch [36/50], Final Loss: 4778.9587
Epoch [37/50], Final Loss: 4763.2871
Epoch [38/50], Final Loss: 4748.9667
Epoch [39/50], Final Loss: 4700.7747
Epoch [40/50], Final Loss: 4757.2837
Epoch [41/50], Final Loss: 4806.8123
Epoch [42/50], Final Loss: 4783.8545
Epoch [43/50], Final Loss: 4752.4407
Epoch [44/50], Final Loss: 4763.3330
Epoch [45/50], Final Loss: 4777.0452
Epoch [46/50], Final Loss: 4736.5127
Epoch [47/50], Final Loss: 4777.5063
Epoch [48/50], Final Loss: 4804.1963
Epoch [49/50], Final Loss: 4779.7859
Epoch [50/50], Final Loss: 4765.9214
