                                                                               
Epoch [1/20], Final Loss: 3701.9722
Epoch [2/20], Final Loss: 3681.8724
Epoch [3/20], Final Loss: 3672.0406
Epoch [4/20], Final Loss: 3658.7699
Epoch [5/20], Final Loss: 3647.2106
Epoch [6/20], Final Loss: 3637.5045
Epoch [7/20], Final Loss: 3620.0810
Epoch [8/20], Final Loss: 3610.2163
Epoch [9/20], Final Loss: 3584.8888
Epoch [10/20], Final Loss: 3565.3142
Epoch [11/20], Final Loss: 3556.0215
Epoch [12/20], Final Loss: 3522.7539
Epoch [13/20], Final Loss: 3558.9924
Epoch [14/20], Final Loss: 3507.1444
Epoch [15/20], Final Loss: 3479.6442
Epoch [16/20], Final Loss: 3464.5391
Epoch [17/20], Final Loss: 3452.7034
Epoch [18/20], Final Loss: 3433.3158
Epoch [19/20], Final Loss: 3422.2913
Epoch [20/20], Final Loss: 3389.2405
