id,created,karma,about,submitted
_------------_,2018-10-30 22:25:25,5,,"{18723436,18710285,18341881}"
_-----_,2022-12-07 19:45:14,38,,"{34353215,34346450,34314090,34277524,34262511,34259647,34239938,34236652,34236445,34235992,34199795,34137505,34114262,34105849,33945079,33945054,33926931,33915446,33915425}"
_--,2016-08-27 21:06:13,-1,,"{12390950,12390899,12373932}"
_---____--_--,2022-03-17 12:35:53,6,,{30710444}
_--_,2014-08-02 11:52:04,-7,,"{10919437,8668545,8349770,8335037}"
_--_----_--_,2011-08-09 00:17:37,5,just wandering around,"{3057854,2936170,2881969,2861960}"
_--__--__,2020-02-24 17:36:53,21,,"{41506632,41207475,33171311,31927691,31927690,29008735,25444819,22407983}"
_--___-___,2019-07-09 20:49:22,11,,"{24152556,23797608,22321065,22239248,21973585,21970978,21714827,21696737,21576081,20867986,20748802}"
_-_-_-,2013-10-18 00:43:28,-20,"","{6569743,6569721,6569642,6569580,6569556,6569529,6569497,6569491,6568948}"
_-_-_-_,2015-02-10 08:08:56,12,"","{9204764,9204535,9105003,9088165}"
_-_-_-_-,2015-08-23 15:28:29,2,,{10105578}
_-__---,2014-06-30 14:22:20,174,,"{18057994,17031701,15279081,14841480,14310165,14088718,14088645,13884949,13814661,13813594,13754618,13748506,13337730,12856901,12304731,11920194,11846617,11707091,11621327,11542819,11430732,11360226,11113168,10980161,10881676,10794548,10751470,10679108,10649636,10535034,10507624,10501888,10477511,10471436,10464289,10355868,10331552,10306448,10305477,10205073,10200537,10200032,10192256,10191413,10116556,10073292,10060578,9599913,9545259,9468990,9429085,9328254,9033035,8966827,8935345,8920703,8888957,8813195,8725637,8659607,8590124,8585998,8458813,8421039,7964903}"
_-_-__-_-_-,2022-10-05 12:18:49,15,,"{41469525,41410205,41060688,41050614,40923037,40897264,39340813,37620337,37483326,33722036,33239980,33179712,33094068,33093992}"
_-__--____--,2017-04-20 21:52:46,2,,"{14161117,14161031,14160939,14160880,14160810}"
_-____-_,2022-12-21 15:25:09,105,,"{36587023,36455130,36423629,36423607,36422026,36422010,36393544,36296820,36234253,36220578,36220558,36218452,36218438,36213193,36107535,36096431,36087975,36009109,35982097,35981535,35980064,35978154,35975370,35975344,35394763,35233182,35233116,35219019,35218887,35218826,35218764,35218713,35218524,35151860,35123762,35024131,35023055,34997458,34296564,34166858,34155891,34155860,34145162,34145072,34144775,34124591,34112975,34112958,34100388,34099833}"
__,2007-02-20 17:52:01,1113,"","{1080426,1080215,1079587,1056151,1049571,1020239,1002518,1001877,991876,986516,893967,870975,843082,760343,737143,727029,715943,711497,707245,674887,672771,667872,665835,634508,631651,621320,618058,612033,605004,599294,599018,531647,526654,441113,420235,357723,353290,341799,336352,323193,300907,297369,295040,293391,291477,287570,283188,283097,259690,256978,255101,244589,229235,228974,224152,216924,215725,214151,201494,197426,196735,196434,186635,186447,184926,170044,169972,169927,166929,166785,160454,154012,148090,148085,147885,147186,147077,141217,138710,136345,136118,133933,133912,133907,133818,133294,132618,131646,131597,131046,129286,126479,125302,125176,115627,115613,112988,112905,112841,112335,111640,111464,111277,110659,110117,110064,110059,109963,109612,108450,108440,108287,108089,108086,108030,107682,106545,106365,105936,105902,105860,105063,103843,103842,103257,102961,100191,100190,99881,99708,99698,98960,98954,98921,98807,98433,98432,98410,98407,98351,98336,98328,98230,98002,97696,97651,97505,96948,96947,96486,94248,94068,93609,93607,93122,93035,92780,92777,86795,81818,81599,78788,15231,15215,14765,14257,13718,185,184,183}"
